date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:12	8557/8557	---M-Z	200	added ('OK')	application/javascript	etag:W/%22afe5ab8244e77c9f52f9ad18f0e7be33%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.a95f1bb8.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.a95f1bb8.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:13	592/592	---M-Z	200	added ('OK')	application/javascript	etag:W/%2223ccb1448224924f202421c2eee6276d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.ea0d28b2.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.ea0d28b2.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:13	15722/15722	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cf7c0e377fe962411330046c58d9b271%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.96c1bcee.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/platform.96c1bcee.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:13	60038/60038	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ed00cb81ed810a5eda6dce796bfea386%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.35cab844.bundle.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/editor-elements/dist/componentSdks.35cab844.bundle.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:13	10276/10276	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bb126b6054c4d9c61702d224b8344943%22	https://static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:13	156802/156802	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210ad37709ca0e88ef9400bee3f0c39e0%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.1f6febfb.bundle.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/editor-elements/dist/thunderboltElements.1f6febfb.bundle.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:14	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2009:45:14%20GMT	https://benjamincouprie3.wixsite.com/my-site-2/$&/	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/my-site-2/$&/index.html	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:14	28769/28769	---M-Z	200	added ('OK')	application/javascript	etag:W/%22176ee9e7e73026df1413537b2d27c82d%22	https://static.parastorage.com/services/wix-perf-measure/1.401.0/wix-perf-measure.bundle.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-perf-measure/1.401.0/wix-perf-measure.bundle.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:14	122769/122769	---M-Z	200	added ('OK')	application/javascript	etag:W/%22da063301785c2222e025b600b413da84%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendors~vendor-react-dom.dcd6ec7e.chunk.min.js	C:/Mes%20Sites%20Web/wix/static.parastorage.com/services/wix-thunderbolt/dist/vendors_vendor-react-dom.dcd6ec7e.chunk.min.js	(from https://benjamincouprie3.wixsite.com/my-site-2)
10:45:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Mar%202021%2009:45:14%20GMT	https://benjamincouprie3.wixsite.com/	C:/Mes%20Sites%20Web/wix/benjamincouprie3.wixsite.com/index.html	(from https://benjamincouprie3.wixsite.com/my-site-2)
